Дата,Категория,Регион,Объем_потерь_кг
2021-08-31,Молочные продукты,Юг,0.0
2022-06-30,Молочные продукты,Север,277.0
2021-06-30,Молочные продукты,Восток,0.0
2023-09-30,Мясо,Запад,940.0
2024-04-30,Овощи,Восток,0.0
2022-06-30,Молочные продукты,Восток,19975.0
2024-12-31,Молочные продукты,Юг,189.0
2023-12-31,Фрукты,Восток,0.0
2021-03-31,Молочные продукты,Запад,161.0
2020-09-30,Овощи,Юг,282.0
2023-07-31,Молочные продукты,Север,935.0
2021-04-30,Мясо,Восток,404.0
2022-06-30,Зерновые,Запад,884.0
2024-12-31,Молочные продукты,Запад,0.0
2018-08-31,Молочные продукты,Север,55.0
2022-03-31,Молочные продукты,Запад,36.0
2023-11-30,Фрукты,Юг,188.0
2023-06-30,Молочные продукты,Восток,516.0
2024-07-31,Овощи,Запад,944.0
2023-06-30,Зерновые,Восток,829.0
2022-07-31,Фрукты,Север,241.0
2023-04-30,Фрукты,Юг,828.0
2023-07-31,Зерновые,Север,748.0
2019-07-31,Мясо,Север,0.0
2019-06-30,Фрукты,Запад,0.0
2019-11-30,Фрукты,Запад,11167.0
2022-10-31,Фрукты,Юг,0.0
2020-04-30,Зерновые,Восток,471.0
2024-08-31,Молочные продукты,Восток,0.0
2018-01-31,Фрукты,Север,305.0
2023-05-31,Фрукты,Юг,0.0
2024-04-30,Мясо,Восток,935.0
2023-06-30,Фрукты,Юг,161.0
2019-07-31,Овощи,Запад,392.0
2024-09-30,Молочные продукты,Юг,569.0
2020-05-31,Овощи,Запад,68.0
2021-04-30,Молочные продукты,Север,0.0
2023-06-30,Фрукты,Юг,771.0
2024-10-31,Овощи,Запад,0.0
2022-06-30,Мясо,Запад,776.0
2023-07-31,Мясо,Север,164.0
2023-04-30,Фрукты,Юг,767.0
2022-01-31,Зерновые,Запад,608.0
2019-07-31,Молочные продукты,Юг,67.0
2021-06-30,Овощи,Юг,551.0
2019-11-30,Мясо,Юг,311.0
2018-09-30,Зерновые,Восток,414.0
2023-10-31,Молочные продукты,Север,744.0
2020-11-30,Овощи,Юг,301.0
2023-06-30,Неправильная категория,Восток,18029.0
2019-09-30,Зерновые,Восток,783.0
2021-06-30,Фрукты,Восток,701.0
2019-05-31,Овощи,Восток,877.0
2019-04-30,Мясо,Запад,125.0
2019-06-30,Молочные продукты,Запад,0.0
2020-01-31,Мясо,Восток,486.0
2023-11-30,Зерновые,Север,717.0
2020-04-30,Фрукты,Север,644.0
2019-02-28,Молочные продукты,Юг,102.0
2022-05-31,Фрукты,Запад,245.0
2019-08-31,Молочные продукты,Север,0.0
2019-10-31,Зерновые,Восток,479.0
2020-04-30,Фрукты,Юг,0.0
2023-10-31,Молочные продукты,Юг,328.0
2024-03-31,Фрукты,Юг,0.0
2019-03-31,Зерновые,Восток,211.0
2024-12-31,Фрукты,Восток,254.0
2019-03-31,Фрукты,Юг,949.0
2020-09-30,Зерновые,Восток,62.0
2022-03-31,Фрукты,Север,0.0
2023-10-31,Фрукты,Север,405.0
2019-12-31,Зерновые,Север,0.0
2023-10-31,Мясо,Север,826.0
2023-07-31,Овощи,Север,0.0
2024-05-31,Фрукты,Восток,0.0
2018-02-28,Молочные продукты,Восток,563.0
2023-12-31,Зерновые,Юг,464.0
2024-08-31,Овощи,Восток,0.0
2021-11-30,Зерновые,Север,556.0
2018-12-31,Зерновые,Восток,523.0
2020-05-31,Зерновые,Юг,182.0
2024-08-31,Мясо,Север,0.0
2021-09-30,Мясо,Запад,0.0
2023-12-31,Мясо,Север,180.0
2020-03-31,Зерновые,Север,101.0
2023-03-31,Фрукты,Запад,985.0
2023-07-31,Мясо,Запад,831.0
2024-04-30,Овощи,Восток,887.0
2020-03-31,Овощи,Восток,344.0
2018-12-31,Мясо,Запад,148.0
2022-03-31,Неправильная категория,Север,206.0
2022-02-28,Зерновые,Восток,263.0
2023-04-30,Молочные продукты,Север,393.0
2022-06-30,Зерновые,Юг,12255.0
2021-08-31,Мясо,Восток,534.0
2021-04-30,Фрукты,Юг,918.0
2021-12-31,Овощи,Запад,928.0
2019-09-30,Овощи,Юг,182.0
2024-07-31,Фрукты,Восток,225.0
2019-05-31,Овощи,Запад,830.0
2022-03-31,Фрукты,Север,824.0
2019-12-31,Фрукты,Запад,320.0
2020-12-31,Молочные продукты,Восток,293.0
2024-10-31,Зерновые,Запад,0.0
2023-06-30,Фрукты,Север,102.0
2021-03-31,Зерновые,Юг,97.0
2019-09-30,Мясо,Юг,102.0
2019-08-31,Овощи,Запад,781.0
2022-05-31,Овощи,Юг,354.0
2024-03-31,Молочные продукты,Восток,714.0
2023-02-28,Зерновые,Запад,709.0
2019-08-31,Молочные продукты,Юг,49.0
2023-06-30,Зерновые,Север,346.0
2018-02-28,Овощи,Восток,196.0
2020-04-30,Зерновые,Восток,318.0
2024-08-31,Зерновые,Север,664.0
2018-12-31,Молочные продукты,Юг,0.0
2021-08-31,Молочные продукты,Север,173.0
2018-05-31,Мясо,Восток,966.0
2019-08-31,Фрукты,Восток,0.0
2019-09-30,Зерновые,Восток,561.0
2018-04-30,Мясо,Север,876.0
2020-07-31,Мясо,Юг,0.0
2024-12-31,Овощи,Восток,0.0
2024-07-31,Фрукты,Восток,956.0
2022-07-31,Мясо,Восток,650.0
2022-10-31,Зерновые,Юг,55.0
2020-04-30,Молочные продукты,Восток,297.0
2023-12-31,Зерновые,Восток,915.0
2020-04-30,Мясо,Север,511.0
2021-07-31,Молочные продукты,Запад,39.0
2020-10-31,Молочные продукты,Восток,252.0
2021-04-30,Зерновые,Восток,674.0
2022-02-28,Молочные продукты,Юг,401.0
2021-03-31,Молочные продукты,Юг,193.0
2018-03-31,Молочные продукты,Юг,215.0
2019-12-31,Овощи,Запад,895.0
2021-11-30,Мясо,Север,802.0
2024-01-31,Мясо,Север,297.0
2022-06-30,Молочные продукты,Запад,637.0
2020-08-31,Зерновые,Запад,714.0
2020-01-31,Молочные продукты,Север,551.0
2022-08-31,Неправильная категория,Восток,909.0
2018-10-31,Мясо,Запад,92.0
2020-01-31,Молочные продукты,Восток,289.0
2022-08-31,Молочные продукты,Север,0.0
2021-08-31,Молочные продукты,Восток,706.0
2020-10-31,Зерновые,Север,340.0
2023-02-28,Зерновые,Север,723.0
2022-09-30,Зерновые,Юг,193.0
2021-04-30,Молочные продукты,Север,178.0
2023-09-30,Молочные продукты,Запад,548.0
2021-09-30,Овощи,Север,610.0
2020-11-30,Мясо,Запад,332.0
2019-11-30,Зерновые,Восток,921.0
2023-10-31,Зерновые,Восток,280.0
2020-03-31,Мясо,Юг,624.0
2018-09-30,Мясо,Север,247.0
2024-01-31,Молочные продукты,Север,235.0
2021-05-31,Мясо,Восток,645.0
2019-11-30,Овощи,Восток,0.0
2022-10-31,Фрукты,Запад,0.0
2020-08-31,Мясо,Север,330.0
2020-01-31,Мясо,Запад,60.0
2020-02-29,Фрукты,Север,887.0
2020-07-31,Фрукты,Запад,637.0
2024-08-31,Зерновые,Запад,0.0
2024-12-31,Фрукты,Запад,953.0
2024-12-31,Молочные продукты,Запад,201.0
2019-11-30,Зерновые,Юг,0.0
2022-01-31,Молочные продукты,Север,844.0
2021-07-31,Овощи,Север,620.0
2024-09-30,Фрукты,Север,0.0
2021-10-31,Зерновые,Север,823.0
2020-11-30,Мясо,Запад,0.0
2019-09-30,Молочные продукты,Юг,399.0
2022-03-31,Молочные продукты,Запад,600.0
2024-02-29,Неправильная категория,Восток,29.0
2021-11-30,Фрукты,Север,74.0
2019-08-31,Мясо,Север,468.0
2021-08-31,Мясо,Восток,373.0
2024-01-31,Фрукты,Юг,400.0
2023-02-28,Овощи,Восток,0.0
2021-01-31,Фрукты,Юг,881.0
2024-07-31,Фрукты,Запад,984.0
2022-09-30,Фрукты,Юг,370.0
2024-04-30,Молочные продукты,Север,139.0
2021-07-31,Молочные продукты,Восток,965.0
2021-02-28,Зерновые,Восток,0.0
2019-08-31,Мясо,Запад,0.0
2018-05-31,Молочные продукты,Запад,299.0
2024-02-29,Молочные продукты,Север,697.0
2019-09-30,Молочные продукты,Юг,821.0
2020-08-31,Зерновые,Юг,837.0
2018-06-30,Мясо,Север,370.0
2020-05-31,Мясо,Север,0.0
2020-07-31,Фрукты,Восток,0.0
2022-11-30,Фрукты,Юг,848.0
2022-06-30,Молочные продукты,Север,0.0
2018-08-31,Молочные продукты,Восток,703.0
2024-02-29,Овощи,Восток,159.0
2018-07-31,Мясо,Восток,8.0
2018-05-31,Зерновые,Юг,72.0
2021-12-31,Фрукты,Восток,0.0
2024-05-31,Молочные продукты,Север,524.0
2020-03-31,Мясо,Восток,610.0
2019-08-31,Мясо,Юг,665.0
2018-02-28,Овощи,Север,405.0
2019-03-31,Молочные продукты,Запад,0.0
2020-06-30,Фрукты,Запад,947.0
2020-08-31,Мясо,Восток,228.0
2020-12-31,Фрукты,Север,46.0
2022-01-31,Зерновые,Запад,0.0
2018-05-31,Зерновые,Запад,475.0
2018-02-28,Фрукты,Восток,0.0
2022-03-31,Молочные продукты,Запад,790.0
2021-04-30,Молочные продукты,Север,808.0
2022-09-30,Зерновые,Север,828.0
2021-08-31,Овощи,Юг,0.0
2019-01-31,Овощи,Запад,350.0
2022-12-31,Зерновые,Север,377.0
2019-06-30,Неправильная категория,Юг,166.0
2021-06-30,Зерновые,Север,479.0
2018-05-31,Мясо,Восток,796.0
2020-03-31,Мясо,Север,0.0
2024-11-30,Фрукты,Юг,431.0
2020-02-29,Фрукты,Север,799.0
2019-07-31,Мясо,Север,781.0
2024-01-31,Зерновые,Юг,229.0
2019-11-30,Мясо,Юг,0.0
2020-02-29,Овощи,Запад,102.0
2018-01-31,Мясо,Запад,99.0
2024-01-31,Фрукты,Север,0.0
2023-11-30,Фрукты,Восток,132.0
2024-06-30,Мясо,Север,163.0
2024-08-31,Овощи,Юг,0.0
2018-11-30,Овощи,Запад,0.0
2022-10-31,Фрукты,Юг,646.0
2022-06-30,Мясо,Юг,0.0
2021-01-31,Овощи,Восток,494.0
2019-10-31,Мясо,Юг,560.0
2024-05-31,Мясо,Запад,635.0
2020-04-30,Овощи,Север,807.0
2023-08-31,Овощи,Восток,0.0
2022-10-31,Овощи,Восток,735.0
2024-02-29,Фрукты,Восток,0.0
2020-06-30,Молочные продукты,Юг,0.0
2022-10-31,Мясо,Запад,97.0
2020-01-31,Молочные продукты,Восток,419.0
2023-05-31,Зерновые,Запад,493.0
2020-01-31,Зерновые,Восток,461.0
2020-02-29,Фрукты,Север,432.0
2020-04-30,Овощи,Север,0.0
2020-06-30,Неправильная категория,Север,84.0
2024-05-31,Зерновые,Запад,285.0
2024-04-30,Овощи,Запад,849.0
2019-11-30,Мясо,Юг,836.0
2024-08-31,Овощи,Запад,465.0
2024-05-31,Молочные продукты,Юг,49.0
2018-04-30,Молочные продукты,Юг,0.0
2022-09-30,Зерновые,Запад,263.0
2022-07-31,Зерновые,Запад,268.0
2019-11-30,Мясо,Запад,610.0
2020-10-31,Фрукты,Запад,0.0
2018-12-31,Молочные продукты,Восток,429.0
2019-06-30,Фрукты,Юг,0.0
2021-11-30,Овощи,Запад,281.0
2023-07-31,Мясо,Север,517.0
2023-10-31,Мясо,Восток,564.0
2019-11-30,Овощи,Юг,743.0
2018-03-31,Молочные продукты,Юг,916.0
2022-11-30,Зерновые,Запад,754.0
2019-07-31,Молочные продукты,Север,467.0
2022-08-31,Фрукты,Восток,649.0
2021-04-30,Мясо,Восток,0.0
2023-09-30,Фрукты,Юг,798.0
2020-03-31,Молочные продукты,Восток,0.0
2022-02-28,Молочные продукты,Восток,150.0
2019-02-28,Овощи,Запад,101.0
2018-09-30,Мясо,Запад,0.0
2020-05-31,Овощи,Юг,203.0
2023-12-31,Мясо,Запад,0.0
2024-06-30,Овощи,Север,761.0
2024-07-31,Зерновые,Север,0.0
2019-08-31,Зерновые,Север,785.0
2022-04-30,Зерновые,Юг,741.0
2019-03-31,Зерновые,Север,565.0
2021-01-31,Фрукты,Север,77.0
2022-12-31,Молочные продукты,Восток,121.0
2022-07-31,Овощи,Север,252.0
2022-03-31,Зерновые,Запад,637.0
2022-04-30,Мясо,Юг,942.0
2022-01-31,Мясо,Восток,85.0
2023-11-30,Мясо,Восток,249.0
2021-05-31,Зерновые,Восток,371.0
2024-02-29,Мясо,Север,301.0
2024-10-31,Зерновые,Восток,269.0
2024-09-30,Молочные продукты,Запад,349.0
2020-08-31,Зерновые,Юг,12911.0
2019-07-31,Зерновые,Юг,0.0
2021-09-30,Зерновые,Запад,0.0
2022-06-30,Овощи,Восток,199.0
2018-05-31,Фрукты,Восток,862.0
2020-07-31,Овощи,Север,80.0
2018-09-30,Овощи,Восток,87.0
2023-02-28,Овощи,Запад,540.0
2023-06-30,Мясо,Юг,10272.0
2018-05-31,Фрукты,Север,107.0
2024-09-30,Зерновые,Север,468.0
2018-10-31,Фрукты,Юг,404.0
2023-08-31,Мясо,Восток,0.0
2018-11-30,Молочные продукты,Север,157.0
2020-12-31,Овощи,Восток,925.0
2023-04-30,Молочные продукты,Восток,306.0
2020-12-31,Зерновые,Запад,710.0
2024-05-31,Молочные продукты,Север,275.0
2024-08-31,Овощи,Восток,854.0
2024-02-29,Молочные продукты,Север,0.0
2021-07-31,Зерновые,Юг,402.0
2021-11-30,Зерновые,Запад,0.0
2021-09-30,Овощи,Восток,62.0
2024-03-31,Мясо,Север,877.0
2021-10-31,Молочные продукты,Восток,77.0
2018-06-30,Молочные продукты,Север,451.0
2022-01-31,Мясо,Восток,349.0
2022-07-31,Зерновые,Север,143.0
2020-02-29,Овощи,Восток,646.0
2018-09-30,Овощи,Восток,490.0
2020-11-30,Овощи,Восток,285.0
2019-02-28,Зерновые,Юг,804.0
2024-04-30,Мясо,Запад,0.0
2022-09-30,Молочные продукты,Юг,0.0
2019-02-28,Фрукты,Запад,649.0
2018-04-30,Молочные продукты,Север,0.0
2023-11-30,Неправильная категория,Юг,357.0
2021-09-30,Зерновые,Запад,663.0
2023-02-28,Зерновые,Север,207.0
2023-08-31,Овощи,Запад,47.0
2018-05-31,Зерновые,Север,398.0
2020-12-31,Молочные продукты,Юг,663.0
2020-10-31,Мясо,Юг,619.0
2020-05-31,Овощи,Запад,0.0
2021-01-31,Фрукты,Юг,116.0
2023-07-31,Зерновые,Юг,222.0
2022-08-31,Фрукты,Запад,169.0
2024-03-31,Зерновые,Юг,785.0
2020-03-31,Мясо,Восток,506.0
2020-12-31,Молочные продукты,Восток,48.0
2024-03-31,Овощи,Восток,575.0
2021-01-31,Зерновые,Север,0.0
2022-11-30,Мясо,Север,825.0
2022-02-28,Мясо,Север,719.0
2021-03-31,Неправильная категория,Восток,627.0
2024-06-30,Мясо,Запад,375.0
2019-03-31,Молочные продукты,Юг,811.0
2018-10-31,Зерновые,Юг,0.0
2019-12-31,Зерновые,Запад,256.0
2018-10-31,Мясо,Юг,824.0
2024-07-31,Мясо,Юг,0.0
2018-11-30,Овощи,Запад,934.0
2021-03-31,Овощи,Север,233.0
2023-12-31,Мясо,Запад,306.0
2023-11-30,Мясо,Восток,177.0
2022-06-30,Молочные продукты,Запад,577.0
2019-01-31,Фрукты,Юг,0.0
2019-05-31,Молочные продукты,Север,738.0
2022-11-30,Неправильная категория,Юг,620.0
2023-11-30,Зерновые,Север,0.0
2019-06-30,Мясо,Север,832.0
2020-06-30,Мясо,Юг,338.0
2019-05-31,Молочные продукты,Восток,0.0
2021-07-31,Фрукты,Юг,107.0
2024-07-31,Овощи,Запад,919.0
2022-12-31,Зерновые,Юг,628.0
2019-02-28,Мясо,Восток,0.0
2021-08-31,Молочные продукты,Север,250.0
2023-02-28,Овощи,Юг,527.0
2023-08-31,Фрукты,Юг,285.0
2018-10-31,Овощи,Юг,801.0
2019-05-31,Мясо,Север,775.0
2019-05-31,Зерновые,Юг,0.0
2022-05-31,Фрукты,Запад,772.0
2021-04-30,Зерновые,Юг,778.0
2018-11-30,Молочные продукты,Восток,859.0
2023-06-30,Фрукты,Восток,471.0
2019-11-30,Фрукты,Запад,718.0
2022-03-31,Фрукты,Север,206.0
2022-02-28,Фрукты,Восток,0.0
2023-10-31,Овощи,Север,0.0
2021-08-31,Овощи,Запад,741.0
2019-05-31,Овощи,Юг,639.0
2020-12-31,Овощи,Север,319.0
2019-03-31,Овощи,Север,0.0
2023-02-28,Зерновые,Запад,622.0
2023-06-30,Фрукты,Юг,387.0
2022-08-31,Молочные продукты,Запад,263.0
2020-02-29,Зерновые,Север,0.0
2023-09-30,Неправильная категория,Запад,793.0
2021-05-31,Зерновые,Запад,197.0
2024-05-31,Зерновые,Запад,371.0
2024-09-30,Молочные продукты,Восток,336.0
2019-02-28,Молочные продукты,Запад,380.0
2022-01-31,Зерновые,Восток,167.0
2024-11-30,Мясо,Север,417.0
2023-07-31,Мясо,Восток,664.0
2023-05-31,Фрукты,Север,589.0
2021-12-31,Молочные продукты,Восток,312.0
2023-04-30,Зерновые,Восток,953.0
2020-05-31,Мясо,Запад,759.0
2020-03-31,Зерновые,Юг,80.0
2020-09-30,Зерновые,Восток,572.0
2018-12-31,Овощи,Север,0.0
2021-03-31,Мясо,Восток,294.0
2019-10-31,Мясо,Восток,921.0
2018-05-31,Фрукты,Восток,362.0
2020-06-30,Молочные продукты,Юг,59.0
2018-06-30,Зерновые,Север,0.0
2018-07-31,Молочные продукты,Север,855.0
2022-07-31,Мясо,Запад,383.0
2022-08-31,Неправильная категория,Запад,0.0
2021-09-30,Зерновые,Север,804.0
2020-11-30,Мясо,Восток,625.0
2020-04-30,Зерновые,Юг,0.0
2020-12-31,Зерновые,Север,966.0
2020-11-30,Молочные продукты,Восток,707.0
2020-08-31,Молочные продукты,Север,363.0
2021-08-31,Мясо,Восток,310.0
2023-04-30,Зерновые,Юг,0.0
2023-04-30,Молочные продукты,Восток,507.0
2020-11-30,Мясо,Запад,3.0
2022-05-31,Молочные продукты,Запад,0.0
2022-06-30,Молочные продукты,Север,783.0
2019-04-30,Зерновые,Запад,131.0
2022-02-28,Молочные продукты,Юг,0.0
2022-11-30,Зерновые,Юг,757.0
2022-04-30,Овощи,Юг,747.0
2018-01-31,Зерновые,Запад,10.0
2024-05-31,Овощи,Юг,466.0
2021-04-30,Овощи,Север,384.0
2021-05-31,Молочные продукты,Запад,313.0
2019-12-31,Молочные продукты,Юг,982.0
2019-10-31,Овощи,Запад,392.0
2018-02-28,Мясо,Восток,0.0
2021-10-31,Зерновые,Восток,0.0
2022-05-31,Фрукты,Запад,0.0
2019-09-30,Зерновые,Юг,879.0
2024-06-30,Молочные продукты,Восток,918.0
2018-11-30,Неправильная категория,Восток,840.0
2018-04-30,Фрукты,Восток,302.0
2021-07-31,Зерновые,Запад,264.0
2023-08-31,Фрукты,Север,0.0
2023-04-30,Молочные продукты,Восток,740.0
2020-04-30,Молочные продукты,Юг,776.0
2024-11-30,Фрукты,Восток,63.0
2021-01-31,Зерновые,Восток,178.0
2021-07-31,Зерновые,Юг,0.0
2023-09-30,Фрукты,Восток,0.0
2019-04-30,Мясо,Запад,464.0
2020-02-29,Овощи,Север,0.0
2020-03-31,Молочные продукты,Запад,750.0
2021-12-31,Зерновые,Юг,699.0
2020-01-31,Зерновые,Восток,698.0
2021-04-30,Зерновые,Юг,230.0
2018-08-31,Молочные продукты,Север,0.0
2022-03-31,Мясо,Юг,905.0
2022-02-28,Мясо,Запад,0.0
2024-10-31,Зерновые,Север,0.0
2020-08-31,Зерновые,Восток,0.0
2024-05-31,Мясо,Восток,884.0
2021-06-30,Фрукты,Север,0.0
2019-01-31,Зерновые,Запад,821.0
2018-11-30,Молочные продукты,Восток,14.0
2021-12-31,Фрукты,Север,822.0
2019-01-31,Овощи,Восток,85.0
2018-02-28,Молочные продукты,Юг,952.0
2022-07-31,Молочные продукты,Юг,148.0
2020-01-31,Зерновые,Восток,0.0
2022-08-31,Фрукты,Юг,854.0
2018-06-30,Молочные продукты,Запад,196.0
2022-01-31,Молочные продукты,Юг,856.0
2021-01-31,Овощи,Запад,900.0
2021-07-31,Зерновые,Юг,361.0
2020-12-31,Зерновые,Запад,935.0
2020-02-29,Овощи,Восток,999.0
2019-10-31,Фрукты,Восток,661.0
2021-04-30,Фрукты,Восток,763.0
2023-06-30,Молочные продукты,Запад,0.0
2019-07-31,Молочные продукты,Запад,12433.0
2019-05-31,Мясо,Север,535.0
2022-09-30,Фрукты,Север,143.0
2021-09-30,Овощи,Юг,543.0
2020-10-31,Овощи,Север,433.0
2022-03-31,Мясо,Восток,885.0
2019-09-30,Зерновые,Запад,0.0
2020-05-31,Овощи,Восток,857.0
2019-03-31,Мясо,Север,977.0
2021-03-31,Зерновые,Восток,403.0
2023-10-31,Мясо,Восток,0.0
2024-10-31,Овощи,Юг,648.0
2021-12-31,Овощи,Запад,231.0
2024-02-29,Неправильная категория,Север,76.0
2019-11-30,Зерновые,Юг,915.0
2024-11-30,Мясо,Юг,807.0
2024-12-31,Мясо,Юг,245.0
2024-06-30,Овощи,Восток,80.0
2022-03-31,Молочные продукты,Юг,796.0
2021-12-31,Зерновые,Север,441.0
2019-05-31,Мясо,Юг,0.0
2018-02-28,Мясо,Север,708.0
2022-05-31,Зерновые,Запад,243.0
2024-05-31,Неправильная категория,Юг,0.0
2020-09-30,Зерновые,Север,887.0
2023-02-28,Фрукты,Север,0.0
2022-02-28,Зерновые,Запад,834.0
2024-02-29,Молочные продукты,Юг,512.0
2023-02-28,Фрукты,Запад,938.0
2024-12-31,Зерновые,Восток,538.0
2024-08-31,Фрукты,Восток,361.0
2021-08-31,Овощи,Север,0.0
2023-05-31,Зерновые,Восток,0.0
2024-01-31,Зерновые,Юг,0.0
2023-10-31,Овощи,Восток,970.0
2023-01-31,Фрукты,Запад,907.0
2018-11-30,Мясо,Запад,620.0
2019-02-28,Овощи,Восток,120.0
2024-09-30,Зерновые,Север,305.0
2021-04-30,Молочные продукты,Запад,386.0
2023-11-30,Молочные продукты,Север,541.0
2020-05-31,Фрукты,Восток,915.0
2019-02-28,Молочные продукты,Север,930.0
2020-07-31,Зерновые,Юг,876.0
2021-07-31,Мясо,Запад,798.0
2024-09-30,Фрукты,Восток,673.0
2022-11-30,Молочные продукты,Запад,316.0
2021-06-30,Фрукты,Запад,104.0
2021-10-31,Овощи,Юг,0.0
2019-01-31,Фрукты,Восток,676.0
2022-02-28,Мясо,Запад,860.0
2021-05-31,Мясо,Север,581.0
2020-09-30,Мясо,Север,69.0
2021-07-31,Фрукты,Запад,0.0
2023-09-30,Фрукты,Восток,674.0
2018-03-31,Зерновые,Запад,11935.0
2023-01-31,Фрукты,Север,413.0
2023-08-31,Молочные продукты,Юг,355.0
2018-10-31,Мясо,Восток,791.0
2020-05-31,Мясо,Север,555.0
2022-03-31,Зерновые,Север,173.0
2021-04-30,Зерновые,Север,0.0
2020-07-31,Мясо,Запад,899.0
2023-10-31,Молочные продукты,Запад,619.0
2020-07-31,Фрукты,Восток,447.0
2019-01-31,Овощи,Север,536.0
2020-02-29,Зерновые,Юг,682.0
2021-08-31,Мясо,Запад,863.0
2021-03-31,Овощи,Юг,148.0
2024-03-31,Неправильная категория,Запад,554.0
