Страна,год,Категория продуктов питания,Общее_количество_отходов_(тонн),Экономический ущерб (Млн долларов),Среднее количество отходов на душу населения (Кг),Численность населения (Млн),Бытовые отходы (%)
argentina,2019,meat seafood,43465.47,42742.96,129.35,889.88,45.22
spain,2024,meat seafood,33791.28,31479.67,65.9,219.46,30.43
indonesia,2023,meat seafood,48216.19,51593.84,151.14,353.04,56.75
france,2024,frozen food,1314.06,1332.64,128.69,1082.83,40.81
brazil,2018,dairy product,21847.0,20986.45,84.77,846.22,34.63
saudi arabia,2024,prepared food,37050.71,38365.47,196.14,116.66,67.64
france,2020,beverage,41479.3,45051.73,157.4,53.57,39.76
france,2020,bakery item,24927.16,21789.99,48.66,597.02,63.44
argentina,2020,fruit vegetable,48169.18,53898.55,60.39,1231.31,31.7
brazil,2023,prepared food,16972.96,14320.65,99.26,165.4,34.47
spain,2023,dairy product,13937.28,15512.11,108.3,27.87,40.63
germany,2019,beverage,23004.2,19818.33,76.51,199.6,48.01
uk,2018,prepared food,10099.58,10925.71,145.46,1363.87,58.7
japan,2024,dairy product,47567.09,46165.99,94.32,32.61,65.82
south africa,2024,fruit vegetable,16963.98,19065.76,193.04,1268.4,35.61
spain,2021,frozen food,30672.66,31614.27,20.47,470.41,53.25
russia,2022,meat seafood,38383.37,42044.15,140.83,515.01,69.26
argentina,2022,dairy product,8037.7,8365.37,196.29,880.47,38.36
spain,2019,bakery item,24425.55,26942.73,54.77,966.95,58.71
usa,2021,bakery item,34908.96,40850.93,121.91,237.19,40.3
india,2022,frozen food,11629.26,11829.8,64.13,716.37,32.13
china,2020,meat seafood,6880.38,7585.37,71.67,1387.28,39.9
canada,2018,frozen food,1325.37,1513.38,154.74,221.32,31.13
indonesia,2024,frozen food,3567.42,3713.77,51.71,255.85,57.8
brazil,2019,dairy product,8646.04,10179.33,132.05,73.19,34.38
uk,2021,beverage,41619.64,44143.49,72.03,108.81,47.02
uk,2020,bakery item,10908.22,11660.55,45.21,567.83,31.92
saudi arabia,2022,grain cereal,42281.31,42664.53,35.36,994.35,49.71
germany,2020,fruit vegetable,1474.15,1540.57,196.14,105.89,58.28
uk,2018,meat seafood,5636.3,5593.44,34.72,911.69,58.77
turkey,2020,meat seafood,23475.18,20967.94,44.9,333.9,46.26
russia,2019,fruit vegetable,27030.65,27392.4,169.05,919.96,51.55
india,2023,meat seafood,43446.92,47096.44,35.45,16.15,54.82
south africa,2019,grain cereal,34585.58,33098.13,132.07,1354.57,34.25
south africa,2020,beverage,20690.04,17002.44,92.56,1201.73,60.67
australia,2023,bakery item,35899.52,36123.81,127.57,503.69,64.55
china,2024,dairy product,41094.36,42324.94,81.2,760.09,61.26
usa,2022,bakery item,48642.96,50037.63,57.61,1105.55,51.9
usa,2020,dairy product,10517.37,11093.88,77.33,65.06,64.77
usa,2020,dairy product,19143.4,18627.53,199.02,544.66,39.94
saudi arabia,2023,prepared food,31798.5,27380.38,45.11,462.38,31.35
germany,2018,beverage,6860.69,7700.46,104.38,495.94,54.16
brazil,2018,beverage,49122.58,51296.9,99.49,539.04,63.8
canada,2020,bakery item,40262.79,41152.89,58.15,816.23,52.71
germany,2022,beverage,14791.28,16497.72,159.67,667.57,58.89
turkey,2023,frozen food,6743.26,6479.62,55.33,1118.23,44.54
usa,2019,dairy product,4194.06,3640.51,187.66,337.53,48.65
spain,2023,beverage,46787.67,50857.0,53.42,663.44,69.02
argentina,2024,fruit vegetable,34377.5,29795.03,119.44,790.96,30.6
turkey,2023,bakery item,23215.07,23317.07,195.51,669.66,35.83
turkey,2022,prepared food,43199.69,47597.87,60.43,1077.09,51.84
uk,2023,bakery item,8030.17,7356.13,76.42,454.39,50.03
japan,2021,bakery item,6814.57,6646.62,55.24,336.87,31.51
france,2024,bakery item,3959.24,4269.63,107.29,987.09,33.89
saudi arabia,2024,meat seafood,7049.17,7695.97,136.52,643.09,41.24
italy,2019,grain cereal,4927.29,5656.69,114.23,405.74,67.03
australia,2021,grain cereal,38211.0,45495.03,181.25,1369.27,40.3
south korea,2024,dairy product,5058.24,4824.18,144.75,1382.05,63.4
brazil,2022,prepared food,36132.58,36878.62,116.97,999.12,37.92
canada,2020,bakery item,578.58,646.46,94.43,534.07,37.47
uk,2021,fruit vegetable,24046.92,22580.75,46.84,26.69,36.81
japan,2024,beverage,40854.18,40444.58,68.81,47.02,49.97
indonesia,2023,beverage,32931.8,37000.2,24.98,358.18,44.08
south africa,2024,grain cereal,23137.63,27294.6,173.68,808.33,34.76
argentina,2021,beverage,3088.35,2809.98,179.07,391.35,42.48
italy,2023,fruit vegetable,31130.27,36622.71,139.05,415.19,60.61
brazil,2019,fruit vegetable,31515.32,37428.53,179.92,1274.45,36.63
india,2018,bakery item,41159.8,38825.97,81.6,835.23,31.24
canada,2022,dairy product,40267.47,39933.88,171.17,844.93,42.93
mexico,2019,dairy product,20750.01,20032.02,32.25,960.19,47.99
china,2019,bakery item,8381.26,7150.57,132.06,1307.9,37.53
saudi arabia,2022,grain cereal,25689.2,27161.16,190.25,722.25,41.02
brazil,2020,prepared food,15808.38,16825.54,194.85,1098.0,33.16
south africa,2022,meat seafood,3751.19,3403.5,112.55,600.38,69.47
argentina,2020,prepared food,15333.15,13655.73,32.53,599.9,65.49
australia,2020,fruit vegetable,45456.99,47399.77,105.52,897.68,54.38
usa,2022,meat seafood,12712.22,11265.97,31.29,1167.45,48.77
argentina,2019,grain cereal,48904.89,57120.77,186.51,94.54,35.42
turkey,2018,fruit vegetable,38921.02,38773.26,130.39,1205.11,60.75
canada,2024,meat seafood,6167.66,6479.29,165.44,1190.31,62.48
japan,2020,prepared food,3471.38,3642.06,162.64,1201.95,52.96
saudi arabia,2020,grain cereal,36432.74,38640.08,160.6,790.29,42.47
south korea,2019,frozen food,19231.85,16773.79,70.91,1235.48,56.95
south korea,2018,bakery item,4198.48,4740.46,183.39,802.23,56.39
south korea,2019,frozen food,48375.92,54885.58,111.57,87.25,41.21
russia,2020,frozen food,23721.0,27890.37,55.83,308.82,69.52
spain,2022,fruit vegetable,49893.96,42739.19,123.54,446.97,62.03
france,2023,grain cereal,42544.59,39659.69,97.09,58.21,65.41
france,2023,bakery item,15275.97,13016.74,39.68,640.22,60.68
australia,2021,meat seafood,3714.44,3261.31,170.97,232.56,37.18
france,2022,dairy product,739.5,763.45,172.65,673.21,59.47
turkey,2021,meat seafood,32933.1,26687.76,174.87,367.32,45.48
usa,2018,grain cereal,25308.57,30171.15,66.16,1015.59,34.48
italy,2022,prepared food,16593.43,16794.72,40.0,18.13,58.34
south africa,2019,bakery item,49576.05,40382.72,104.51,173.02,44.08
india,2020,dairy product,4364.47,4652.61,169.33,267.81,51.78
brazil,2021,prepared food,24385.74,25811.86,54.04,1061.4,65.2
france,2023,dairy product,16869.71,14181.75,157.22,874.04,37.1
brazil,2023,meat seafood,21397.48,18490.31,177.98,956.45,45.71
south korea,2019,fruit vegetable,39896.88,34365.58,92.78,744.95,69.4
south africa,2018,grain cereal,11229.86,9641.07,175.21,831.35,31.32
spain,2023,frozen food,9716.22,10604.28,149.42,963.75,41.6
china,2024,frozen food,30243.94,26197.12,171.54,863.36,45.77
japan,2021,grain cereal,3818.33,4240.41,59.44,97.08,36.57
germany,2020,grain cereal,35940.67,41777.45,65.48,904.28,60.65
canada,2021,beverage,4959.43,4817.6,155.89,774.03,43.28
uk,2020,dairy product,20329.78,17755.81,62.5,51.24,67.45
argentina,2021,grain cereal,44554.11,53406.23,169.72,666.78,51.47
south korea,2022,beverage,31835.4,33619.04,186.04,1085.21,40.81
germany,2023,beverage,35643.89,41185.44,65.93,1062.33,32.18
spain,2019,fruit vegetable,16133.76,15262.81,129.2,515.2,49.9
italy,2021,grain cereal,1709.16,1961.3,194.1,244.01,30.41
south korea,2023,fruit vegetable,41482.57,46333.09,121.92,244.71,61.46
indonesia,2021,fruit vegetable,46273.76,53925.1,65.3,536.6,48.94
china,2024,fruit vegetable,31630.65,36217.51,181.08,270.32,56.04
australia,2018,frozen food,3623.19,3779.23,164.96,1266.09,45.77
australia,2018,frozen food,46482.1,55692.74,112.9,235.89,35.11
south korea,2024,dairy product,7654.24,8374.5,40.54,850.74,60.9
south korea,2020,beverage,46944.56,50437.65,151.66,164.41,33.77
argentina,2020,prepared food,8933.08,8058.58,118.63,96.65,64.56
germany,2021,meat seafood,49843.31,53122.46,182.65,1184.54,34.76
mexico,2021,beverage,1504.09,1538.77,141.39,286.04,36.2
uk,2021,frozen food,47308.57,48088.55,86.74,839.06,60.22
india,2020,meat seafood,27939.53,25519.13,85.87,1253.46,37.58
spain,2018,prepared food,13854.47,15117.89,103.59,83.38,67.81
china,2018,grain cereal,38417.13,34206.81,41.04,807.66,41.01
south korea,2023,frozen food,38328.79,41982.15,32.63,785.91,57.74
indonesia,2024,dairy product,42665.84,50088.64,158.69,661.13,47.57
saudi arabia,2022,dairy product,37587.48,37984.64,60.13,361.08,43.27
canada,2018,prepared food,44840.34,52923.07,161.21,48.84,45.78
italy,2020,fruit vegetable,14928.8,16120.56,34.49,1182.34,48.13
argentina,2019,prepared food,48827.14,47821.6,195.5,397.41,64.7
india,2023,beverage,41053.02,45487.65,157.25,886.32,57.9
japan,2022,frozen food,47284.74,54679.88,86.66,891.21,34.15
brazil,2019,frozen food,21011.84,17190.44,179.55,253.71,34.29
spain,2024,fruit vegetable,47975.09,57145.29,197.07,1192.25,37.85
usa,2021,prepared food,9749.6,8533.14,88.77,1321.24,49.88
china,2022,frozen food,19970.98,20997.66,100.95,180.09,57.56
italy,2018,bakery item,28264.6,26586.74,131.87,734.56,38.27
canada,2020,beverage,14149.17,13279.14,39.32,775.43,44.02
canada,2020,fruit vegetable,16677.83,19617.08,150.27,225.48,39.84
japan,2019,bakery item,33127.97,33984.19,116.88,396.48,37.8
italy,2023,grain cereal,49823.95,57142.48,59.49,1028.07,64.88
france,2020,frozen food,35800.0,38746.59,63.99,1012.24,40.61
south korea,2020,meat seafood,39534.3,35806.77,29.72,1114.18,38.17
uk,2021,beverage,44741.46,52445.59,54.59,960.74,64.43
russia,2018,meat seafood,5566.38,6572.58,177.5,113.24,48.79
china,2023,frozen food,47358.87,41016.65,172.4,829.62,34.05
australia,2022,prepared food,6445.46,6889.42,168.41,300.61,45.14
indonesia,2022,prepared food,10489.55,11668.87,116.66,1379.49,66.13
uk,2019,bakery item,27231.36,25786.68,164.63,735.45,59.54
russia,2020,dairy product,20868.28,22147.11,176.22,932.41,53.02
india,2018,meat seafood,48231.23,51550.44,63.65,1354.85,49.11
japan,2020,beverage,25634.29,28608.02,91.48,976.84,51.63
uk,2024,dairy product,47696.15,42730.6,29.76,1149.91,35.22
china,2019,meat seafood,7525.2,7500.46,56.25,573.65,61.63
spain,2022,beverage,16295.06,15742.71,194.26,1005.63,32.61
south korea,2019,dairy product,48254.61,55699.76,47.58,1112.73,32.38
south africa,2018,meat seafood,9673.67,10064.78,140.33,977.59,40.76
argentina,2024,fruit vegetable,27091.6,29279.15,138.61,1150.97,46.48
brazil,2021,frozen food,24720.56,27802.44,134.46,607.91,39.2
china,2021,meat seafood,15173.36,16088.2,145.0,536.59,59.83
saudi arabia,2023,frozen food,16959.33,16228.69,62.9,515.74,58.05
spain,2018,fruit vegetable,22685.51,26055.96,116.34,306.19,31.21
brazil,2024,frozen food,31823.4,32839.68,82.47,1080.81,57.03
turkey,2020,fruit vegetable,26312.28,28731.45,129.82,1184.85,59.89
south korea,2024,prepared food,12463.29,14521.65,110.45,1200.44,64.35
usa,2019,bakery item,13335.53,15984.75,52.08,318.89,43.42
france,2023,grain cereal,13851.18,11430.7,119.26,1157.56,52.12
usa,2024,meat seafood,13285.19,14486.71,82.34,310.96,40.72
argentina,2022,dairy product,11936.85,13402.52,137.37,74.28,63.35
canada,2024,fruit vegetable,28461.83,24132.13,86.06,1246.6,56.4
mexico,2024,prepared food,32998.71,31325.02,49.89,868.78,59.66
china,2018,fruit vegetable,18784.36,19388.71,80.73,123.56,62.07
china,2020,bakery item,11226.72,9121.44,166.54,42.39,60.61
france,2024,fruit vegetable,39609.6,33231.19,64.46,855.57,46.09
brazil,2020,grain cereal,32669.75,37578.41,112.89,240.33,57.24
spain,2020,frozen food,4595.08,3780.96,28.93,517.12,59.09
indonesia,2020,prepared food,26344.41,21515.45,52.9,1322.82,35.15
saudi arabia,2023,meat seafood,27318.34,25841.38,35.52,339.53,57.15
russia,2023,meat seafood,37886.84,41860.68,129.59,657.36,31.69
indonesia,2024,bakery item,2225.09,1836.76,104.14,1157.3,62.86
mexico,2022,meat seafood,3703.66,3078.03,160.61,657.65,36.48
indonesia,2020,frozen food,41783.18,41756.91,139.1,1169.66,40.7
brazil,2020,prepared food,44433.25,44849.49,150.83,1127.17,61.27
spain,2018,prepared food,12950.96,11413.42,31.78,174.12,40.12
germany,2019,dairy product,21322.29,21219.75,142.93,72.54,44.11
indonesia,2022,beverage,30712.33,35453.71,84.58,1152.47,47.68
france,2024,dairy product,10300.52,11104.21,62.1,1315.28,49.86
south korea,2021,grain cereal,29871.2,31874.06,58.5,849.27,58.85
south korea,2021,beverage,3774.42,4430.59,159.63,504.93,54.43
india,2019,grain cereal,16766.0,18496.75,132.32,98.92,31.95
japan,2019,grain cereal,3285.83,2642.49,30.27,1010.38,40.88
south korea,2022,dairy product,30609.13,26741.35,87.04,231.66,42.59
argentina,2019,frozen food,20490.36,18726.21,106.77,336.01,51.59
usa,2020,beverage,36826.44,42048.9,150.4,516.02,55.32
italy,2021,meat seafood,12148.41,12962.53,113.06,423.76,66.6
saudi arabia,2019,dairy product,26723.91,22010.24,87.54,766.34,51.54
india,2021,fruit vegetable,20385.31,21467.14,134.21,856.05,44.38
usa,2024,prepared food,9272.98,10324.97,182.31,675.39,46.24
australia,2021,dairy product,34325.04,33080.21,80.55,826.63,48.29
france,2018,grain cereal,23329.02,19639.5,138.91,1303.16,65.34
spain,2019,frozen food,27999.24,24345.31,35.5,321.39,41.14
india,2019,fruit vegetable,10668.39,10113.76,78.36,709.22,42.08
china,2018,frozen food,6216.13,7024.47,129.81,800.63,34.28
australia,2022,meat seafood,25947.66,23899.18,48.07,469.91,62.42
south africa,2019,frozen food,8209.84,7556.2,21.33,420.85,41.05
argentina,2022,fruit vegetable,43281.08,38481.97,187.09,1109.48,30.44
mexico,2021,grain cereal,15742.16,17297.58,100.01,136.09,66.2
russia,2020,prepared food,19747.12,19112.57,167.79,1170.0,40.15
turkey,2024,grain cereal,10668.1,9622.69,102.58,737.64,58.15
china,2019,grain cereal,24674.19,28985.24,172.4,393.27,52.71
argentina,2023,grain cereal,8416.1,6929.97,126.12,830.43,66.51
italy,2023,bakery item,5158.83,5533.23,187.33,954.11,51.57
usa,2024,dairy product,2512.68,2273.25,183.28,820.54,67.48
germany,2020,fruit vegetable,41105.94,47590.19,54.75,720.5,37.33
argentina,2021,bakery item,32589.23,36377.68,173.23,135.79,33.81
brazil,2021,bakery item,19203.37,19148.46,174.87,1258.25,34.3
south africa,2018,fruit vegetable,48569.06,50526.39,111.18,775.09,30.09
japan,2018,beverage,23990.63,25812.35,158.8,628.05,57.98
spain,2020,grain cereal,31991.72,31110.65,89.08,304.88,59.68
italy,2019,prepared food,3007.77,2560.49,109.09,1312.13,39.5
spain,2023,bakery item,26866.42,29648.63,171.62,1242.59,65.29
turkey,2021,fruit vegetable,41913.3,38652.18,30.71,82.09,66.0
south korea,2018,grain cereal,35789.49,40299.58,119.33,257.85,44.35
italy,2021,grain cereal,40825.3,44057.3,158.6,391.2,37.02
mexico,2020,frozen food,33829.34,37634.44,58.46,964.99,54.42
russia,2018,grain cereal,33169.17,31095.77,88.57,797.67,30.79
india,2019,frozen food,40010.99,42792.66,87.37,831.94,37.69
uk,2019,bakery item,11188.67,9813.62,100.52,623.46,55.86
mexico,2022,meat seafood,49188.61,44353.01,164.75,659.02,63.83
canada,2022,dairy product,8075.18,9515.0,192.64,552.09,62.82
canada,2023,frozen food,10961.77,12576.03,176.8,977.68,32.32
brazil,2022,bakery item,37256.43,39190.01,38.82,1199.92,59.66
brazil,2018,fruit vegetable,49446.48,52898.91,46.3,1013.71,35.07
germany,2022,dairy product,740.99,831.86,53.1,1360.46,33.61
brazil,2018,grain cereal,2436.5,2216.85,61.08,908.5,60.28
argentina,2018,prepared food,11181.65,13164.79,122.54,40.62,33.98
uk,2022,dairy product,49529.61,52776.18,118.72,903.19,41.13
south korea,2019,frozen food,31383.34,36151.6,66.73,1204.84,33.69
spain,2018,beverage,26441.53,27000.75,103.49,425.03,38.32
china,2018,dairy product,9960.73,11541.31,70.91,981.92,60.93
canada,2022,dairy product,25268.13,22719.63,60.51,352.62,32.32
russia,2019,dairy product,3732.53,4168.82,113.6,1019.37,56.76
france,2018,bakery item,13444.76,14984.01,163.9,511.76,51.04
mexico,2022,fruit vegetable,42384.09,36474.21,67.16,943.85,54.9
indonesia,2019,beverage,23745.49,20351.51,20.09,60.25,68.29
russia,2024,meat seafood,7620.64,8232.41,175.09,1322.56,61.92
usa,2018,frozen food,46203.29,51020.59,64.26,1231.34,59.36
argentina,2022,fruit vegetable,49520.12,43991.89,53.18,1390.46,30.72
india,2020,prepared food,5505.18,6279.76,37.04,742.35,62.9
china,2020,fruit vegetable,28052.23,32720.64,142.25,416.66,42.46
japan,2023,beverage,36013.66,34055.43,28.84,1218.87,45.61
india,2020,dairy product,32563.44,33379.0,36.13,1181.29,33.99
mexico,2019,beverage,8970.53,10242.07,51.07,118.38,38.04
south korea,2018,prepared food,8375.59,9834.62,174.41,103.26,54.9
canada,2023,grain cereal,42828.76,44223.92,108.41,1372.05,39.46
mexico,2018,prepared food,11621.64,13270.71,172.63,1099.3,40.96
canada,2024,dairy product,47299.18,47088.76,69.3,1087.99,50.75
turkey,2018,bakery item,32067.33,35582.94,67.69,1068.74,57.59
turkey,2020,beverage,20253.99,19827.79,141.59,1243.45,56.42
russia,2021,bakery item,16436.49,13228.23,189.1,833.92,65.99
canada,2020,fruit vegetable,7871.05,6643.78,69.87,451.84,43.88
canada,2021,dairy product,17352.04,19072.79,125.83,622.35,62.97
germany,2021,grain cereal,48936.24,52003.78,110.24,210.58,33.11
uk,2018,meat seafood,45513.32,41588.01,33.52,1267.31,64.9
italy,2024,bakery item,13588.97,12125.32,192.19,430.73,38.93
india,2024,bakery item,42905.2,43781.19,147.07,866.71,33.3
italy,2019,frozen food,13942.38,11285.35,182.91,792.65,52.79
italy,2021,dairy product,6632.86,6267.87,37.73,246.88,34.72
mexico,2022,bakery item,39084.33,38765.74,137.49,443.4,52.83
japan,2021,grain cereal,24682.87,29268.22,95.83,652.14,65.5
canada,2022,dairy product,37496.51,42211.61,156.9,70.03,46.42
india,2019,bakery item,15309.05,17658.66,55.57,766.96,58.06
indonesia,2020,bakery item,9225.11,9884.54,119.89,932.8,54.24
germany,2022,bakery item,17933.14,16338.87,55.04,533.84,35.51
france,2022,prepared food,47744.44,53650.75,31.56,760.44,51.24
france,2023,bakery item,24942.52,22397.14,156.77,791.47,31.11
mexico,2019,meat seafood,21830.31,25941.84,135.31,888.62,49.82
uk,2024,grain cereal,38667.49,32165.91,104.41,759.94,41.99
saudi arabia,2022,prepared food,1452.89,1463.53,151.26,967.76,58.87
brazil,2022,dairy product,11765.21,13641.61,174.43,1237.19,53.33
uk,2023,meat seafood,20556.93,17089.99,48.42,1128.96,35.93
south africa,2018,fruit vegetable,6607.86,6138.7,71.26,534.93,39.16
russia,2022,meat seafood,17362.26,16343.72,139.27,710.02,69.66
canada,2023,prepared food,32521.12,32543.38,136.11,754.46,58.45
china,2020,frozen food,48689.95,41106.23,93.46,746.18,58.69
usa,2020,bakery item,29313.73,30309.69,143.83,1291.82,62.22
france,2019,meat seafood,22523.27,25385.21,197.42,939.34,68.04
mexico,2023,bakery item,41431.57,41218.18,87.76,644.84,46.69
turkey,2020,bakery item,13613.53,13351.41,66.86,320.08,37.03
turkey,2019,bakery item,44602.78,51869.78,24.9,1182.44,67.01
russia,2023,fruit vegetable,33865.11,38931.11,113.98,353.68,49.73
turkey,2022,meat seafood,34057.08,39020.78,184.44,361.57,48.02
uk,2022,dairy product,4585.3,5242.22,190.76,683.92,60.47
